Chilometraggio,Marca,Tipologia,Modello,Immatricolazione,Cambio,Carburante,Prezzo,Link
123.369 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,19.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-business-auto-u945682
114.743 Km, Mercedes-Benz ,USATO, Classe A Berlina ,2020,Automatico,Diesel,20.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a-berlina/usato/veicolo-a-180-d-sport-auto-u998241
116.568 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,20.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-sport-auto-u1034945
89.386 Km, Mercedes-Benz ,USATO, Classe A ,2019,Manuale,Diesel,20.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-160-d-sport-u1006963
42.063 Km, Mercedes-Benz ,USATO, Classe A ,2018,Manuale,Benzina,22.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-sport-u972056
77.624 Km, Mercedes-Benz ,USATO, Classe A ,2021,Manuale,Diesel,22.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-business-extra-u991372
68.832 Km, Mercedes-Benz ,USATO, Classe A ,2019,Automatico,Benzina,22.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-sport-auto-u1009896
100.977 Km, Mercedes-Benz ,USATO, Classe A ,2019,Automatico,Benzina,22.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-premium-auto-u989242
86.100 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,22.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-sport-auto-u956543
97.000 Km, Mercedes-Benz ,USATO, Classe A ,2018,Automatico,Benzina,23.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-premium-auto-u1017491
72.468 Km, Mercedes-Benz ,USATO, Classe A ,2020,Automatico,Diesel,23.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-sport-auto-u1016107
63.800 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Plug-in/Benzina,23.600 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-250-e-phev-eq-power-business-auto-u988737
75.813 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,25.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-d-sport-auto-u1012565
72.833 Km, Mercedes-Benz ,USATO, Classe A ,2020,Automatico,Benzina,26.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-premium-auto-u937671
94.001 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,26.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u1002819
11.584 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,27.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-sport-auto-u1035092
77.455 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,27.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u1005317
97.040 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Benzina,27.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-premium-auto-u1014080
68.250 Km, Mercedes-Benz ,USATO, Classe A Berlina ,2021,Automatico,Diesel,27.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a-berlina/usato/veicolo-a-200-d-premium-auto-u912731
99.940 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,27.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-night-edition-auto-u940566
51.324 Km, Mercedes-Benz ,USATO, Classe A ,2020,Automatico,Benzina,27.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-premium-auto-u928163
18.260 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,27.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u854180
14.653 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010987
15.952 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010952
15.160 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1017595
10.477 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010994
15.216 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010959
11.806 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010946
13.451 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1011012
11.230 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1011005
11.344 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010933
14.412 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1010939
13.062 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u981906
17.421 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u981896
24.503 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u981859
12.175 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u977689
15.429 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u977651
19.863 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u967089
21.070 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u967115
16.006 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u967068
15.314 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u967060
21.328 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,28.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u960986
29.887 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,28.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-executive-auto-u943367
96.657 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,28.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-night-edition-auto-u964264
57.937 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,29.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-night-edition-auto-u998027
64.275 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Plug-in/Benzina,29.200 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-250-e-phev-eq-power-sport-auto-u939708
72.717 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,29.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u1005014
44.903 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,29.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-progressive-advanced-auto-u1008500
51.205 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Plug-in/Benzina,29.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-250-e-phev-eq-power-premium-auto-u929720
7.644 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Benzina,29.800 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-sport-auto-u974636
36.669 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-sport-night-edition-plus-auto-u1023113
8.736 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1002981
11.580 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1002947
13.702 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1002941
7.717 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1002909
12.093 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-advanced-auto-u1003046
79.030 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u945991
92.050 Km, Mercedes-Benz ,USATO, Classe A ,2020,Automatico,Benzina,29.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-4matic-auto-u895154
38.384 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,30.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u991487
80.085 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,31.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-d-premium-night-edition-auto-u974121
42.420 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Plug-in/Benzina,31.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-250-e-plug-in-hybrid-e-eq-power-premium-plus-ed-u1005513
21.890 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,31.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u1011208
39.632 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Diesel,31.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u988053
53.088 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,31.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u965894
58.045 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Diesel,31.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u953247
54.169 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,31.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-d-premium-night-edition-auto-u886204
29.608 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,31.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-premium-auto-u973631
19.038 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499332
19.006 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499335
19.338 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499108
2.470 Km, Mercedes-Benz ,USATO, Classe A ,2025,Automatico,Diesel,32.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-180-d-progressive-advanced-auto-u1013948
58.182 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,32.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-220-d-premium-auto-u942153
21.355 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.600 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498930
30.352 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499341
18.090 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499340
10.628 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.700 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498870
25.327 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2023,Automatico,Diesel,32.800 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/km-0/veicolo-a-180-d-automatic-premium-n1419680
23.645 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Plug-in/Benzina,32.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-250-e-phev-progressive-advanced-plus-auto-u963617
52.375 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Diesel,32.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-200-d-premium-auto-u920031
7.790 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-progressive-n1487506
20.508 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,32.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499112
18.255 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-progressive-n1487526
17.232 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498927
16.651 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498925
14.043 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499469
17.040 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499402
20.156 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499210
17.365 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499200
18.301 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1499131
8.073 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498895
20.574 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2024,Automatico,Diesel,33.100 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/aziendale/veicolo-a-180-d-automatic-advanced-plus-progressive-n1498725
